id,name,category_id
20711,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, (not cut in pieces), fresh or chilled",2
20712,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",2
20712,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species Gallus domesticus, (not cut in pieces), frozen",2
20712,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, (not cut in pieces), frozen",2
20713,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",2
20713,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",2
20713,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, cuts and offal, fresh or chilled",2
20714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",2
20714,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species Gallus domesticus, cuts and offal, frozen",2
20714,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, cuts and offal, frozen",2
20721,"Meat and edible offal; fowls of the species gallus domesticus, not cut in pieces, frozen",2
20722,"Meat and edible offal; turkeys, not cut in pieces, frozen",2
20723,"Meat and edible offal; ducks, geese and guinea fowls, not cut in pieces, frozen",2
20724,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",2
20724,"Meat and edible offal; of the poultry of heading no. 0105, of turkeys, (not cut in pieces), fresh or chilled",2
20725,"Meat and edible offal; of turkeys, not cut in pieces, frozen",2
20725,"Meat and edible offal; of the poultry of heading no. 0105, of turkeys, (not cut in pieces), frozen",2
20726,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled",2
20726,"Meat and edible offal; of the poultry of heading no. 0105, of turkeys, cuts and offal, fresh or chilled",2
20727,"Meat and edible offal; of turkeys, cuts and offal, frozen",2
20727,"Meat and edible offal; of the poultry of heading no. 0105, of turkeys, cuts and offal, frozen",2
20731,"Offal, edible; of geese or ducks, fatty livers, fresh or chilled",2
20732,"Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, (not cut in pieces), fresh or chilled",2
20733,"Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, (not cut in pieces), frozen",2
20734,"Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fatty livers, fresh or chilled (foie gras from ducks or geese only)",2
20735,"Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fresh or chilled, poultry cuts or offal (excluding fatty livers)",2
20736,"Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, frozen",2
20739,"Meat and edible offal; poultry cuts and offal (including livers but excluding the fatty livers of geese or ducks), fresh or chilled",2
20741,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",2
20741,"Meat and edible offal; of fowls of the species gallus domesticus, poultry cuts and offal (excluding livers), frozen",2
20742,"Meat and edible offal; of ducks, not cut in pieces, frozen",2
20742,"Meat and edible offal; of turkeys, poultry cuts and offal (excluding livers), frozen",2
20743,"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled",2
20743,"Meat and edible offal; of ducks, geese or guinea fowls, poultry cuts and offal (excluding livers) frozen",2
20744,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled",2
20745,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",2
20750,"Offal, edible; of poultry, livers, frozen",2
20751,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled",2
20752,"Meat and edible offal; of geese, not cut in pieces, frozen",2
20753,"Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled",2
20754,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled",2
20755,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen",2
